route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
28195,6,BSK-HLC,BEÞÝKTAÞ - KABATAÞ - KARAKÖY - KASIMPAÞA - SÜTLÜCE - EYÜP,,4,,,
28194,6,KDK-HLC,KADIKÖY - KASIMPAÞA - FENER - SÜTLÜCE - EYÜP,,4,,,
28191,6,ASYN-KCS,Aþiyan - Anadolu Hisarý - Küçüksu Ring,,4,https://www.sehirhatlari.istanbul/tr/seferler/ic-hatlar/istanbul-ici-hatlar/asiyan-anadolu-hisari-kucuksu-ring-hatti-2014,,
7060,6,BOS-KRK-KBTÞ,BOSTANCI - KARAKÖY - KABATAÞ,,4,http://www.sehirhatlari.istanbul/tr/seferler/bostanci-karakoy-6498.html,,
26722,6,BYKADA-HYBADA,HEYBELÝADA-BÜYÜKADA,,4,http://www.sehirhatlari.istanbul/tr/seferler/bostanci-adalar-ring-hatti-9504.html,,
26721,6,BOS-ADA_RING,BOSTANCI-ADALAR RING,,4,http://www.sehirhatlari.istanbul/tr/seferler/bostanci-adalar-ring-hatti-9504.html,,
26719,6,BÞK-BYKADA,BEÞÝKTAÞ-HEYBELÝADA-BÜYÜKADA,,4,http://www.sehirhatlari.istanbul/tr/seferler/besiktas-heybeliada-buyukada-3487.html,,
26718,6,BÞK-ADA_2,BEÞÝKTAÞ-KINALIADA-BURGAZADA,,4,http://www.sehirhatlari.istanbul/tr/seferler/besiktas-kinaliada-burgazada-3486.html,,
26717,6,BÞK-ADA,BEÞÝKTAÞ-KINALIADA-BURGAZADA,,4,http://www.sehirhatlari.istanbul/tr/seferler/besiktas-kinaliada-burgazada-3486.html,,
26716,6,KBTÞ-EMN-KDK-ADA,KABATAÞ - EMÝNÖNÜ - KADIKÖY - ADALAR,,4,http://www.sehirhatlari.istanbul/tr/seferler/kabatas-eminonu-kadikoy-adalar-369.html,,
26715,6,BOS-ADA,BOSTANCI - ADALAR (BÜYÜKADA - HEYBELÝADA),,4,http://www.sehirhatlari.istanbul/tr/seferler/bostanci-adalar-370.html,,
2063,6,ÇNGK-iST,ÇENGELKÖY - ÝSTÝNYE,,4,,,
831,6,BÐZ-16,BOÐAZA GÝDÝÞ,,4,,,
7503,6,BYK-ÜSK,BEYKOZ - ÜSKÜDAR,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
7496,6,ERGVN,ERGUVAN TURU,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
7493,6,KISA BÐZ,KISA BOÐAZ TURU,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
817,6,BÐZ-6,BOÐAZDAN GELÝÞ,,4,,,
804,6,BÐZ-23,BOÐAZA GÝDÝÞ,,4,,,
807,6,BÐZ-17,BOÐAZA GÝDÝÞ,,4,,,
2057,6,BÐZ-24,BOÐAZA GÝDÝÞ,,4,,,
2059,6,SRY-RMK-AKV,SARIYER-RUMELÝ KAVAÐI-ANADOLU KAVAÐI,,4,,,
808,6,BÐZ-8,BOÐAZDAN GELÝÞ,,4,,,
7494,6,AKV-ÜSK,ANADOLU KAVAÐI - ÜSKÜDAR,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
7495,6,LALE FST,LALE FESTÝVALÝ(Kadýköy-Üsküdar-Emirgan),,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
818,6,BÐZ-21,BOÐAZA GÝDÝÞ,,4,,,
2052,6,ADA - BOS,ADALAR - BOSTANCI,,4,,,
7506,6,ADA-EMN,ADALAR - EMÝNÖNÜ (KADIKÖY UÐRAMASIZ),,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
824,6,BÐZ-3,BOÐAZDAN GELÝÞ,,4,,,
806,6,BÐZ-2,BOÐAZDAN GELÝÞ,,4,,,
821,6,BÐZ-18,BOÐAZA GÝDÝÞ,,4,,,
803,6,BÐZ-13,BOÐAZDAN GELÝÞ,,4,,,
2062,6,KDK-BÞK-ÝST-SRY,KADIKÖY-SARIYER,,4,,,
836,6,EMN-ADA-BOST,EMÝNÖNÜ - ADALAR - BOSTANCI,,4,,,
815,6,BÐZ-12,BOÐAZDAN GELÝÞ,,4,,,
2065,6,ARNK - ÝST,ARNAVUTKÖY - ÝSTÝNYE,,4,,,
805,6,BÐZ-19,BOÐAZA GÝDÝÞ,,4,,,
823,6,BÐZ-11,BOÐAZDAN GELÝÞ,,4,,,
809,6,KDK-BÞK,KADIKÖY-BEÞÝKTAÞ,,4,,,
7497,6,RKVK-EMN,RUMELÝ KAVAÐI - EMÝNÖNÜ,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
830,6,ÜSK-EMN,ÜSKÜDAR-EMÝNÖNÜ,,4,,,
2067,6,EMGN-ARNK,EMÝRGAN-ARNAVUTKÖY,,4,,,
2069,6,EMGN-BBK,EMÝRGAN - BEBEK,,4,,,
7505,6,EMN-KDK-ADA,EMÝNÖNÜ - YENÝKADIKÖY - ADALAR,,4,http://www.sehirhatlari.com.tr/tr/seferler/,,
832,6,BÐZ-20,BOÐAZA GÝDÝÞ,,4,,,
2064,6,ÇNGK-EMGN,ÇENGELKÖY - EMÝRGAN,,4,,,
7045,6,ÜSK - ORT,ÜSKÜDAR - ORTAKÖY,,4,http://www.sehirhatlari.istanbul/tr/seferler/uskudar-ortakoy-4483.html,,
833,6,ÜSK-EYP,ÜSKÜDAR-KARAKÖY-EMÝNÖNÜ-EYÜP (HALÝÇ HATTI),,4,,,
2066,6,EMGN-ÝST-ÇNGK,EMÝRGAN-ÝSTÝNYE-ÇENGELKÖY,,4,,,
7044,6,ÝST - ÇBK,ÝSTÝNYE - ÇUBUKLU (Arabalý Vapur),,4,http://www.sehirhatlari.istanbul/tr/seferler/istinye-cubuklu-arabali-4496.html,,
811,6,BÐZ-22,BOÐAZA GÝDÝÞ,,4,,,
2070,6,UZUN-BÐZ,UZUN BOÐAZ TURU,,4,,,
816,6,KCS-BÞK,KÜÇÜKSU-BEÞÝKTAÞ,,4,,,
814,6,BÐZ-7,BOÐAZDAN GELÝÞ,,4,,,
